mtkid,HarmVirtue,HarmVice,FairnessVirtue,FairnessVice,IngroupVirtue,IngroupVice,AuthorityVirtue,AuthorityVice,PurityVirtue,MoralityGeneral,PurityVice
aA1Y6VW62U11,0.0,0.0034682080924855487,0.013872832369942195,0.008092485549132947,0.004624277456647399,0.0011560693641618498,0.005780346820809247,0.004624277456647399,0.0011560693641618498,0.0023121387283237,0.0023121387283237
aA12I4JOVU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA3BJ0H1UU11,0.0,0.0,0.0003720238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003720238095238095
aA1AZTE5WU11,0.0006778129236330772,0.0004518752824220516,0.001807501129688206,0.0002259376412110258,0.002711251694532309,0.0011296882060551287,0.001807501129688206,0.0006778129236330772,0.0002259376412110258,0.0004518752824220516,0.0011296882060551287
aA25K2YA4U11,0.0008699975142928162,0.004101416853094704,0.004598558289833458,0.004225702212279393,0.006214267959234403,0.002858563261247825,0.002858563261247825,0.002982848620432513,0.0011185682326621924,0.0047228436490181465,0.0016157096694009445
aA2M4QB5TU11,0.0003428179636612959,0.0025711347274597193,0.0027425437092903674,0.0008570449091532396,0.006684950291395268,0.0003428179636612959,0.0013712718546451837,0.0015426808364758314,0.0008570449091532396,0.0034281796366129585,0.0013712718546451837
aA1MM8TSLU11,0.0,0.0,0.0,0.001841620626151013,0.001841620626151013,0.0,0.0,0.0,0.0,0.0,0.0
aA36K4ELTU11,0.00013189132155104198,0.0011870218939593776,0.0018464785017145871,0.0009232392508572936,0.0030335003956739647,0.00039567396465312586,0.0013189132155104195,0.0006594566077552098,0.0007913479293062517,0.001978369823265629,0.0002637826431020839
aA28KV1QXU11,0.0,0.002994011976047905,0.002994011976047905,0.0,0.00598802395209581,0.0,0.0,0.0,0.0,0.008982035928143712,0.0
aA1941R1IU11,0.0,0.0,0.0,0.0015432098765432098,0.0,0.0,0.0,0.0015432098765432098,0.0,0.0,0.0
aA1WCAVFOU11,0.0,0.00398406374501992,0.023904382470119518,0.0,0.01593625498007968,0.0,0.011952191235059759,0.011952191235059759,0.0,0.00398406374501992,0.0
aA20HZD95U11,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.017241379310344827,0.0,0.0,0.03448275862068965,0.0
aA2TCZ9IUU11,0.0037243947858473,0.0,0.00186219739292365,0.00186219739292365,0.0148975791433892,0.0,0.0,0.0,0.00186219739292365,0.00186219739292365,0.0
aA18WPTVQU11,0.0,0.004986149584487534,0.006648199445983379,0.00443213296398892,0.008310249307479225,0.000554016620498615,0.002770083102493075,0.006648199445983379,0.0016620498614958448,0.006648199445983379,0.002770083102493075
aA1KOHXO0U11,0.0,0.006289308176100629,0.012578616352201259,0.0,0.006289308176100629,0.006289308176100629,0.0,0.0,0.006289308176100629,0.0,0.006289308176100629
aA12NNJKHU11,0.0,0.0,0.0,0.003584229390681004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA341XKSRU11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aA2XMYHTHU11,0.0010449320794148381,0.0027864855451062353,0.003134796238244514,0.0013932427725531177,0.011494252873563218,0.0,0.0017415534656913968,0.00034831069313827936,0.00034831069313827936,0.00522466039707419,0.0
