handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
Jay_Day_Gaming,A2S3SV1LQTKJ8K,Public,Public,300|400,379,TRUE,572
TonyStonyb31,A3CHEPE7BQHSY7,Public,Public,0|100,9,TRUE,39
christy_conlin,AL8XTNQ7MQH5F,Public,Public,0|100,69,TRUE,106
_ChadNat_,A19H44LQJ0TEXF,Public,Public,500|600,538,TRUE,4034
eugenefinley10,A53LV70R73Q73,Public,Public,100|200,27,TRUE,42
JazzmanStudios,AHN0AVRM65XB0,Public,Public,0|100,3,TRUE,3184
meilinry,A5X1KZ9CCHREK,Public,Public,0|100,52,TRUE,2300
Azuredragoon,AEDV0CBBPU0RE,Public,Public,0|100,4,TRUE,67
sammy012665,AZVI1B5Z5L56N,Public,Public,0|100,79,TRUE,1019
Livingwithstuff,A1CPVTZAK27YSF,Private,Public,0|100,62,TRUE,165
GaryRayHess,A1HJAT4A0FVIOZ,Public,Public,300|400,230,TRUE,692
40trina,A14AKM0M9VIDCG,Public,Public,1000|999999,2777,TRUE,5297
Janetwise11,A3QUWIT972BYUH,Public,Public,0|100,5,TRUE,104
lonelypoet18,A3I668PEONUFH0,Private,Public,0|100,21,TRUE,419
Noelle_Cooper,A3JG44GC9BIM58,Public,Public,0|100,28,TRUE,42
atachovaldez,A1PZIN8H1VI6SY,Private,Public,100|200,22,TRUE,17
rydershilo,A1B14CS9DW7008,Public,Public,0|100,79,TRUE,3492
a_r_woodard,A2GFLJDDJ33MI4,Public,Public,0|100,2,TRUE,2
vacross,ASWRCA8J5G771,Public,Public,200|300,244,TRUE,1902
paulbaldovin,A3IEFYBAJDK48K,Public,Public,1000|999999,3349,TRUE,40456
sophiavoravong,AJMWITY1XT7H7,Public,Public,300|400,393,TRUE,3220
MelanieS_Clarke,A2HC9549CZAKNN,Public,Public,500|600,544,TRUE,321
cool_dog_2,A8RDXT4ZILHQT,Public,Public,200|300,288,TRUE,1473
pettycanoodler,ATADQXPHL10Y8,Public,Public,300|400,227,TRUE,28982
Reviews05579876,A28JBDTFGFJ5NR,Public,Public,0|100,17,TRUE,9
masterx12345,A4T4577P6JL6R,Public,Public,0|100,47,TRUE,2915
randomdude98471,A272X64FOZFYLB,Public,Public,0|100,0,TRUE,1
azra00000,A2F0A4FIVT9M3O,Private,Public,0|100,3,TRUE,144
Elizabeth25,A2BRZKFG6WAVER,Public,Public,100|200,67,TRUE,3038
