mtkid,Harm,Fairness,Loyalty,Authority,Purity,ICS_score,Political Involvement
A36KQFLIXQTAQ,29,27,15,14,9,-8,1
A34BX72ZUITSW3,17,24,6,8,7,-10,6
A25PFSORDO3SWQ,23,24,15,14,8,-4,1
A1I5YNJ60UATA4,20,18,20,20,20,4,4
A1WL3NZ50YEOWP,8,20,0,1,0,-10,1
AI57RR8OF4MR7,23,26,20,23,12,-4,1
A3NYUZFBZTCUFK,19,22,15,18,13,-4,1
AD1PP40BCLSD2,20,20,22,23,18,-6,7
A1CE2XPYCDRHVZ,27,27,19,16,15,-6,5
ACQA5QBAEY0YI,20,16,20,21,19,0,4
A319HGTKM0UY0V,13,20,6,8,3,-8,1
AZTHBV93S8U3T,30,30,1,6,0,-8,3
A18QU0YQB6Q8DF,25,17,18,24,29,10,5
test234,21,26,11,17,12,-6,6
A2VBSFSJXLZZ7A,24,26,16,21,14,2,1
A1KFUXSVGSHL5Z,19,20,18,18,17,4,3
A2PMT4061B1NDP,26,20,10,13,17,-8,1
A2ORPKVJKI0EIO,2,23,5,5,0,-10,1
A35NEL9WYU3VG8,21,23,15,13,4,-10,6
A1NLW5ZS2WQR35,28,30,23,30,30,-2,1
A1P6OXEJ86HQRM,26,25,8,3,3,-10,2
A2NGMLBFZ3YQP5,27,30,14,7,7,-10,1
A234SQAJKIG8VD,17,25,20,16,8,-6,7
