handle,mtkid,listed_status,real_status,follower_range,actual_followers,isReal,tweet_count
clubmarkgirard,A3862RIFFUV141,Public,Public,800|900,807,True,14680
ryanmitchell5,A32U64W0S9PUA3,Public,Public,100|200,169,True,10113
ElfishCascade,AQBMXL3D39ZC0,Public,Public,0|100,66,True,8890
colecodez,A3VY42IIJXD3IC,Public,Public,100|200,72,True,126
Messejajs,A2YFTTVAH9AFXU,Public,Public,1000|99999,1159,True,7126
A102310239,AE87K978IXPYP,Public,Public,0|100,1,True,1
southbuckneppy,A2E3UTEZNB9BN9,Public,Public,0|100,8,True,34
pcahhr,A27GK6AHDNFW5Y,Public,Public,0|100,0,True,23
sidybay,AA6K05EFNJ3T0,Public,Public,300|400,424,True,1382
ReddudeBo,AO33H4GL9KZX9,Public,Public,0|100,0,True,9
EmperorPainguin,AUHRS2GFPRADF,Public,Public,0|100,24,True,461
Businessline910,A3B919K25SR35,Public,Public,200|300,301,True,435
clicker9064,APDDA1Y59RHV9,Public,Public,0|100,2,True,0
MPRSteve,AKX5RHHO8BIUX,Public,Public,0|100,46,True,29
thawedoutpro,A1PIGZNLSQMGNW,Public,Public,800|900,831,True,9347
WillametteFred,A3HSONMX6LNZR4,Public,Public,200|300,266,True,13974
r0ssiter,A6N190372TE5T,Public,Public,0|100,10,True,177
lindsey317536,ACRTRQ23XH20E,Public,Public,100|200,6,True,125
oliviabortner,A4CPMNA135GK4,Public,Public,200|300,258,True,1176
catalie608,AEX8AD7WN63KO,Public,Public,300|400,267,True,13732
TalatTheSenocak,ACGZDI611LU0I,Public,Public,0|100,0,True,6
Humpfree,A5N551A5UQ4G2,Public,Public,0|100,2,True,0
eLLyPirman__12,A3J2JDTVK5TN5S,Public,Public,500|600,552,True,6822
FerengiFinance,A23IRWAODQDAA7,Public,Public,0|100,33,True,170
mvin113,A1S315FYTGY9GL,Public,Public,0|100,5,True,14
lizsutton1009,A3BL2ZEODD79AZ,Public,Public,500|600,550,True,277
azzric,A28F1ZWZ9H0RHA,Public,Public,1000|99999,2028,True,27645
victoria4492,A2NYDCQ3Y6QS4Q,Public,Public,0|100,24,True,93
RamblingCake,A3GAQNTZ1V1VO,Public,Public,100|200,185,True,106
KaprakDota,AUFUUD4WG9CVO,Public,Public,0|100,13,True,457
misseslovejoy,A17485GZMUEVZ9,Public,Public,0|100,1,True,3
Suchka1974,A1KCC93NOV6TH2,Public,Public,0|100,1,True,7
111joejoe,A3RS7UCO7CQ74R,Public,Public,0|100,1,True,4
mrdysgo,A3774HPOUKYTX7,Public,Public,1000|99999,4727,True,20110
byrstn,A1AZLJ3R5FQ9B7,Public,Public,0|100,39,True,324
UFCory28,A3RFELKHWTBCB4,Public,Public,100|200,120,True,2133
Frankkaty,A1YQRXE5CBVBHV,Public,Public,0|100| 400|500,13,True,0
kuppusam,AQH9FEEROUJUO,Public,Public,0|100,26,True,379
leetroit16,A1G7T6PC3KNH4M,Public,Public,100|200,111,True,637
JEkum,A8YVGN8FQ3VH4,Public,Public,0|100,24,True,223
freshdipsllc,A1M8GE34UYSUCB,Public,Public,0|100,5,True,23
Richard30727186,A1CW0W7Q2NLDDJ,Public,Public,0|100,0,True,1
RyanBoney1,AHEEMGVMGEMEQ,Public,Public,0|100,21,True,22
vman12584,A3IU2E7QCWYEZI,Public,Public,0|100,1,True,28
Antamania1,A2HSCKH5NKN5LP,Public,Public,100|200,129,True,75
babuhanna,A222R4PNCF08OF,Public,Public,0|100,13,True,121
ReidLuzzader ,A3V0DBGRRC1B67,Public,Public,0|100,44,True,146
BillySpencerW7,A2WYCY1FMQOD5F,Public,Public,100|200,165,True,14101
kraftygourmet,A1YKFB1EKM08EV,Private,Public,0|100,0,True,278
gingerleigh1973,A2S96ZZ70YFPSK,Public,Public,0|100,5,True,12
wilson,A1NGG9MJ39HX5L,Private,Public,1000|99999,3489,True,2649
davdv12312,A2ETY1O927Z1IF,Public,Public,0|100,74,True,750
PoisonedJax,ACSZKZPBGYYKO,Public,Public,0|100,94,True,13830
OCKoopa,A4YG74WC1EK5V,Public,Public,0|100,40,True,2274
jankywitch,A1FD2PO9OQ2LY8,Public,Public,0|100,16,True,160
connerysteph,A1BRPPNBN3LKU5,Public,Public,1000|99999,4519,True,9653
alistastrology,A1U3TT3VMH9FU9,Public,Public,100|200,73,True,698
JENNYOWENS34,A3CA7SCTM4H9IO,Public,Public,0|100,0,True,265
K_Renee,AKN67C89B5QW5,Public,Public,200|300,261,True,10224
BobbyFlayIsOkay,ACN0C9HPYDTED,Public,Public,0|100,28,True,105
LupoFN,AXY0D2AMLKE2A,Public,Public,800|900,856,True,100206
jag_fan,A2DKE3NCEA5W79,Public,Public,300|400,379,True,1284
SloaneRanger_,A38N2MBXP7IOPS,Public,Public,700|800,712,True,20988
chichi_powers,A3H5HW66S1BKID,Public,Public,1000|99999,11341,True,30634
kidsbeyond,A3FKSU0K36G5YM,Public,Public,0|100| 100|200,0,True,1
GingerSnapRowdy,A3JPYCC2U4D9CZ,Public,Public,1000|99999,1979,True,133
bkingz32,A5OBJUPZLVOKG,Public,Public,0|100,5,True,465
collinseden,A318574M8Q965P,Public,Public,0|100,5,True,10
roxy_yvette,ADA69G66J3524,Public,Public,300|400,239,True,2638
_FatJesus_,AFKB7F09OVKV7,Public,Public,600|700| 800|900,626,True,63694
NCTRoss,A1T9XW8SNUDDY7,Public,Public,200|300,211,True,7071
gingflower,A1RAMKQ7DTZSY9,Public,Public,100|200,20,True,6
eirvin09,A1OK6MLE9277O6,Public,Public,0|100,0,True,0
Vaurok,A1SOQ9Q35SASE4,Public,Public,0|100,3,True,15
killabud,A17K1CHOI773VZ,Public,Public,0|100,15,True,468
DeeBeedee4,A3HZIPKSCYU7ZI,Public,Public,0|100,17,True,94
Sarcastic_hubby,A20MO1430Z8C18,Private,Public,300|400,358,True,22995
coords1306,AOTIV8H84F69E,Public,Public,200|300,204,True,1440
GJishere27,A1PNQWE4UAI1P2,Public,Public,0|100,21,True,394
2121nick2121,A1IIDR9HLUB1MR,Public,Public,0|100,5,True,188
Kdubsosolid,A5DC16SOZSECI,Public,Public,1000|99999,1687,True,259742
lilycap,A27O2IILV3S5YS,Public,Public,1000|99999,1915,True,58150
DBAnthony58,A2BA753YMXLDAP,Public,Public,0|100,1,True,14
MarkForsythe,A25CFVQND4A0EV,Public,Public,0|100,14,True,0
Negus_Nyte23,A1CSHXVJJ8BPHH,Public,Public,1000|99999,1598,True,35780
mastershmee,A3CXK1KSRGU27V,Public,Public,0|100,0,True,3
lindsaybedra,8298177,Private,Public,100|200,12,True,28
Jokergt50,A17SHUZEBPYOO2,Public,Public,0|100,2,True,14
annanemuss,A2WKEUKBXD5EMV,Public,Public,100|200,10,True,72
WatchVlad,A1YZJTC04W0A01,Public,Public,0|100,81,True,475
fathimmaaa,A1XBAS3AXLFB5F,Private,Public,100|200,164,True,7656
wrjr74,A2KPT0PEUEXCC4,Public,Public,0|100,6,True,274
humyn_first,AF6SPK6UEL3,Public,Public,100|200,128,True,2330
75_iroc87,A2VLTSW6CXIUMR,Public,Public,0|100,77,True,676
shawnsadstrum,A3APKUC67F9IMW,Private,Public,0|100,2,True,3
markcatt43,A22QD6M0A2C77C,Public,Public,0|100,5,True,22
MinnesotaHammer,AEF74ZYJTTEIA,Public,Public,0|100,18,True,37
anthmorales83,A610SH5RY1NG1,Public,Public,0|100,18,True,163
SW_Amateurs,A3VKJDDU7MMUVD,Public,Public,100|200,252,True,600
SamanthaU22,AMTTB8JUWRRM7,Public,Public,0|100,10,True,3
Jesicu_,ABMX8XUNPR3Lp,Public,Public,1000|99999,1423,True,13612
blmpclrk,A2M3KQ9CKP7YW,Public,Public,0|100,19,True,45
kristen1822,A1JO6AY55FG7QU,Public,Public,200|300,226,True,678
NoviceMadman,A36KQFLIXQTAQ,Public,Public,0|100,1,True,16
Jed_McDanie,A34BX72ZUITSW3,Public,Public,0|100,12,True,43
getarhero,A25PFSORDO3SWQ,Public,Public,0|100,3,True,37
albert,A1I5YNJ60UATA4,Public,Public,400|500| 500|600,354,True,53
DarkRyuu,A1WL3NZ50YEOWP,Public,Public,0|100,8,True,3919
ladyrocerinx,AI57RR8OF4MR7,Public,Public,400|500,444,True,17846
TESSIEILLEST,A3NYUZFBZTCUFK,Private,Public,0|100,59,True,846
tamejohn,AD1PP40BCLSD2,Private,Public,0|100,0,True,0
ReboundsMom,A1CE2XPYCDRHVZ,Public,Public,500|600,506,True,3621
sam1125,ACQA5QBAEY0YI,Public,Public,100|200,3,True,0
CodeAndLonely,A319HGTKM0UY0V,Public,Public,600|700,655,True,1232
redgeishere,AZTHBV93S8U3T,Public,Public,200|300,273,True,6833
soul4hymn,A18QU0YQB6Q8DF,Public,Public,0|100,6,True,45
blacksheepPHD_,test234,Public,Public,0|100,5,True,169
matt_matb321,A2VBSFSJXLZZ7A,Public,Public,0|100,10,True,266
nickburian,A1KFUXSVGSHL5Z,Private,Public,0|100,26,True,300
Xethalys,A2PMT4061B1NDP,Public,Public,0|100,24,True,16
egloskerry,A2ORPKVJKI0EIO,Public,Public,0|100,0,True,1
Timothy_hoss,A35NEL9WYU3VG8,Public,Public,0|100,14,True,1732
francie41,A1NLW5ZS2WQR35,Public,Public,0|100,4,True,1
robinkinsley,A1P6OXEJ86HQRM,Public,Public,0|100,10,True,43
MlleMimi,A2NGMLBFZ3YQP5,Public,Public,0|100,28,True,482
238943,A234SQAJKIG8VD,Public,Public,0|100,5,True,3
