mtkid,Harm,Fairness,Loyalty,Authority,Purity,ICS_score,Political Involvement,Political Leaning
AW2XWG1NUYMR5,23,27,19,8,5,-10,5,liberal
A1H1754EC3SL2L,21,21,3,15,15,0,4,moderate
A1SGIACNC9DUV3,25,23,10,13,0,-10,6,liberal
A1ZTSCPETU3UJW,22,25,15,18,13,4,1,slightly
A2JMPB5BLPWK1Q,22,22,15,12,13,-10,1,liberal
A1NIKHUA79SWGD,26,27,6,12,5,-4,4,slightly
ARDIIRIEIK16Z,25,25,5,10,6,-10,2,liberal
A2539PUSDD137T,21,19,14,16,11,-8,3,liberal
A1C3JZP9IXG52Q,30,30,7,11,5,-6,4,liberal
A1Y6VW621TEYXN,22,20,20,20,19,-10,3,liberal
A12I4JOVZ1HZW8,24,20,22,27,26,-4,2,slightly
A3BJ0H1UZ7YQL0,19,17,2,7,3,-8,2,liberal
A1AZTE5W2MF1TU,29,28,12,11,3,-10,1,liberal
A25K2YA4BZW2K7,29,26,4,6,4,-8,7,liberal
A2M4QB5T835AW1,28,26,17,14,10,-10,3,liberal
A1MM8TSLCHVMNK,29,27,7,9,1,-8,1,liberal
A36K4ELT4YH00L,25,16,15,24,24,-2,2,slightly
A28KV1QXL1AV4X,19,11,20,21,15,10,3,conservative
A1941R1INABJ86,24,28,20,8,0,-6,2,liberal
A1WCAVFOV1Y54N,18,26,5,1,2,-10,1,liberal
A20HZD952T4B2O,26,26,24,19,26,0,3,moderate
A2TCZ9IUCUN3KC,20,19,16,23,20,0,1,moderate
A18WPTVQPM9LBH,24,28,9,9,2,-4,5,slightly
A1KOHXO0BIQB8T,23,24,21,23,20,-4,2,slightly
A12NNJKHIZP1TY,21,16,14,16,13,4,1,slightly
A341XKSRZ58FJK,21,25,12,14,8,2,1,slightly
A2XMYHTHDZEM4U,15,15,8,15,6,-10,4,liberal
A3GQ6KDIZWCMW6,27,24,0,4,0,-10,4,liberal
A29LUD4L39VAQ3,27,23,12,20,12,-10,1,liberal
A1R37XA9QPSIAN,18,22,19,20,9,6,2,conservative
A194E79BDFEZIU,26,25,16,24,13,-6,1,liberal
AIKWZBRRTEW6Z,26,21,12,14,7,-8,1,liberal
A3TW179Z0GG8JG,27,26,20,18,13,-8,4,liberal
A39C210BKD7YNN,13,12,22,27,20,8,7,conservative
AECBS7PZMFA8H,15,17,18,17,12,-6,1,liberal
ADFAALOBP5BIJ,25,24,19,17,15,-6,3,liberal
A18ILYDB04VEE9,30,30,30,30,30,-2,4,slightly
A3ID5G33X4OHFR,23,25,6,9,6,-10,6,liberal
A2MU2U2QYKHLOG,22,20,13,15,21,-6,1,liberal
A2JHF7CU91EVXW,19,20,11,15,9,-8,2,liberal
A3B2RWV5LWCE8U,20,20,7,16,13,-4,2,slightly
AIZ2WT5GUCS0E,23,25,6,15,8,-8,4,liberal
AX72PZ2TQ1J3I,28,19,17,23,18,4,1,slightly
A1VDJ5IGNKQBLU,25,24,17,15,9,0,6,moderate
A3E1403CWJPCIU,13,12,10,11,9,-8,4,liberal
A3CMWYLWMENHLZ,15,22,22,25,10,0,3,moderate
A32QYANWMXW8EL,16,15,14,18,18,0,1,moderate
A2VNK2H6USLQTK,22,17,21,25,25,6,2,conservative
A3EYWJCIO1MG9W,25,23,14,11,10,-10,2,liberal
A27VBVMMEX9GJB,20,20,16,21,21,-6,3,liberal
A39KKGT1ME3A7M,28,22,10,11,6,-8,4,liberal
abc123,25,26,13,8,5,-6,2,liberal
